,time,Q_D/Q_GBD,Q_e/Q_GBD
0,0.5,0.003535906,0.002070971
1,1,0.003472813,0.004080198
2,1.5,0.003163878,0.004230042
3,2,0.002236736,0.002279167
4,2.5,0.001950459,0.002267271
5,3,0.001736298,0.002077689
6,3.5,0.001510294,0.002023153
7,4,0.00159421,0.002236607
8,4.5,0.001893756,0.002684853
9,5,0.002255378,0.003235267
10,5.5,0.002671663,0.003844211
11,6,0.003071492,0.004348661
12,6.5,0.003465616,0.004640657
13,7,0.004025526,0.004887448
14,7.5,0.004794012,0.005232036
15,8,0.005841077,0.00579734
16,8.5,0.00725393,0.00671509
17,9,0.009120793,0.0080488
18,9.5,0.011535773985087872,0.009835945
19,10,0.014651965349912643,0.012111229822039604
20,10.5,0.018693191930651665,0.014874044805765152
21,11,0.023985477164387703,0.018119039
22,11.5,0.030936275,0.021859096363186836
23,12,0.04006432,0.026084244
24,12.5,0.052098143845796585,0.030959395691752434
25,13,0.068064265,0.037061319
26,13.5,0.089367457,0.045190841
27,14,0.1178840771317482,0.056049991
28,14.5,0.1559767723083496,0.070365734
29,15,0.20681920647621155,0.089287534
30,15.5,0.2746163308620453,0.11384481191635132
31,16,0.3644876182079315,0.14508695900440216
32,16.5,0.4835263788700104,0.18565291166305542
33,17,0.6423599123954773,0.23952718079090118
34,17.5,0.8531680107116699,0.3107718825340271
35,18,1.130666971206665,0.4041333794593811
36,18.5,1.5003178119659424,0.5288214087486267
37,19,1.9843955039978027,0.6906478404998779
38,19.5,2.6247830390930176,0.9107792973518372
39,20,3.4514963626861572,1.204301357269287
40,20.5,4.531764507293701,1.5976649522781372
41,21,5.904789924621582,2.1123647689819336
42,21.5,7.626046180725098,2.770469903945923
43,22,9.798005104064941,3.6138486862182617
44,22.5,12.445998191833496,4.6549201011657715
45,23,15.612338066101074,5.903868198394775
46,23.5,19.36595344543457,7.406069755554199
47,24,23.63821029663086,9.206364631652832
48,24.5,28.345897674560547,11.298060417175293
49,25,33.29975128173828,13.630661964416504
50,25.5,38.356510162353516,16.10284996032715
51,26,42.75214767456055,18.321184158325195
52,26.5,45.136199951171875,19.61047363
53,27,44.998931884765625,19.923173904418945
54,27.5,42.64453887939453,19.010536193847656
55,28,39.37152862548828,17.84100914001465
56,28.5,36.25840759277344,16.78759766
57,29,33.79843521118164,16.244169235229492
58,29.5,32.951229095458984,15.534375190734863
59,30,33.499576568603516,15.78550910949707
60,30.5,35.10506820678711,15.838546752929688
61,31,36.10595703,15.660510063171387
62,31.5,35.906925201416016,15.095739364624023
63,32,33.68095397949219,13.671008110046387
64,32.5,32.60592269897461,12.848715782165527
65,33,32.37807083129883,12.637133598327637
66,33.5,32.46295166015625,13.122451782226562
67,34,32.82600021362305,13.36944866
68,34.5,34.323394775390625,14.28419303894043
69,35,35.48872375488281,14.969725608825684
70,35.5,36.91844559,15.656957626342773
71,36,37.87073898,16.189403533935547
72,36.5,38.38090133666992,17.08647918701172
73,37,38.02306365966797,17.159149169921875
74,37.5,37.62500762939453,17.10338592529297
75,38,35.92374038696289,16.57891845703125
76,38.5,33.89221191,15.454963684082031
77,39,31.150312423706055,13.942166328430176
78,39.5,27.882001876831055,12.251821517944336
79,40,24.60936737060547,10.557432174682617
80,40.5,22.630985260009766,9.371502876281738
81,41,21.80697250366211,8.945775985717773
82,41.5,21.55449676513672,8.864058494567871
83,42,21.568620681762695,8.716892242
84,42.5,21.596717834472656,8.623368263244629
85,43,21.50992774963379,8.651537895202637
86,43.5,21.511655807495117,8.543382645
87,44,21.67630958557129,8.38375473
88,44.5,22.357410430908203,8.632339477539062
